,segment,计数
12185,兴趣爱好,146
42327,注意,145
41032,比赛,145
46085,环境,144
24289,学历,144
14825,勇敢,144
50393,笔名,144
48587,眼中,144
28648,当初,143
52155,绝对,143
10950,做到,142
28249,异地,142
65883,首页,142
21739,大一,141
26181,少女,141
10953,做好,141
4363,上课,141
16757,发表,141
36462,无聊,141
40491,正好,140
24206,孤单,140
44512,点赞,140
30964,意思,140
60695,这件,140
60168,辛苦,140
3566,一遍,139
29532,心理,139
51785,线下,139
48399,看起来,139
550,30,139
50860,简书里,139
2979,一座,139
13232,几年,138
5080,不曾,138
15293,十年,138
20782,坚强,138
63544,闺蜜,138
3159,一杯,137
56636,表情,137
16185,厉害,137
24646,完美,137
27759,幽默,137
37140,春天,136
63172,长得,136
2852,一声,136
37197,昨天,136
41501,汉子,136
54008,能量,135
36271,无奈,135
29953,态度,135
40686,武汉,135
52972,老公,135
36791,时刻,135
54655,舒服,135
22857,头发,135
27258,带给,135
39646,标准,134
36114,旁边,134
5340,不行,134
6394,丰富,134
48784,矛盾,134
46695,用心,134
23328,好奇,134
5244,不算,133
20399,在家,133
14454,剩下,133
26489,居然,132
49367,祝福,132
9411,会员,132
47893,目的,132
20261,图片,132
36967,明明,132
45733,独自,132
50800,签约,132
49603,私信,132
29943,怀疑,131
37706,更是,131
63775,阿姨,131
14589,加上,131
40838,母亲,131
7246,书籍,130
45240,爸妈,130
24530,安排,130
21913,大多数,130
51831,组织,130
47213,疯狂,130
60696,这份,129
61947,那年,129
9886,体会,129
45242,爸爸,129
23155,女性,129
47127,留言,129
48615,眼泪,129
36812,时常,129
57472,讨论,128
12124,关心,128
41172,民谣,127
12578,写出,127
32702,承认,127
18524,吵架,127
7002,乐观,127
42828,浪费,127
26870,左右,126
51494,纠结,126
53344,耐心,126
16070,即将,126
48339,看来,126
13267,几次,126
32231,才华,126
12572,写信,126
36710,早已,126
31974,房子,125
17852,吉他,125
16458,友情,125
13541,出门,125
22241,大赛,124
9228,任性,124
54631,舍友,124
37238,显得,124
52524,网络,124
16315,原谅,124
34147,接下来,124
14827,勇气,123
40587,此刻,123
29007,很快,123
23008,奋斗,123
29448,心态,122
8855,从来不,122
23791,姓名,122
17193,只会,122
24766,宝宝,122
37328,晚安,122
22263,大部分,121
50989,管理,121
23239,好不好,121
21955,大学生,121
57663,设计,121
25539,将来,121
15518,半年,121
18678,周围,120
57181,视频,120
30569,情侣,120
65487,风格,120
11037,健康,120
23122,女儿,120
21912,大多,120
4932,不得不,120
35723,文笔,120
62979,链接,120
25560,尊重,120
12632,写给,120
65350,颜值,119
50744,答应,119
17906,同事,119
22462,天气,119
31044,感恩,119
64092,随便,119
48636,眼神,119
29102,很长,119
9208,价值,119
53115,老爸,119
33705,挑战,119
57267,解释,119
9040,代表,118
6605,主编,118
26949,差不多,118
56886,西安,118
22608,太多,118
31684,我来,118
22837,失败,118
38475,期间,118
29797,忙碌,118
61848,邀请,118
38692,本科,117
4851,不好意思,117
42024,没错,117
38987,条件,117
3205,一步,117
52017,经验,116
35079,放在,116
31717,我爱你,116
6711,之中,116
28987,很多很多,116
51192,精彩,115
48997,研究,115
66572,鸡汤,115
60046,轻易,115
40887,每周,115
60936,进步,115
3028,一把,115
58083,说明,115
23244,好久,114
44200,激动,114
17926,同城,114
49760,秘密,114
35392,散文,114
56645,表现,114
43376,添加,114
16068,即可,114
57695,评价,114
8599,人群,114
27833,庆幸,113
59106,走进,113
2650,一人,113
29557,心疼,113
19933,回去,113
6619,主题,112
54142,脸上,112
49808,积极,112
4814,不太,112
4956,不怎么,112
21408,外表,112
44760,热闹,112
23310,好听,112
45023,爬山,112
12260,具体,111
48009,相似,111
41727,沉默,111
32417,打电话,111
17157,另一半,111
4993,不愿,111
48969,码字,111
9613,伤害,111
14778,励志,111
10530,信号,110
65955,马上,110
14396,前面,110
60047,轻松,110
62513,重庆,110
39148,杭州,110
25485,封信,110
45049,爱人,109
36581,日常,109
25149,寂寞,109
12355,兼职,109
23186,女神,109
54845,艺术,109
34304,描述,109
20405,在意,109
61588,逛街,109
5153,不爱,109
286,18,109
21853,大叔,109
20187,国家,108
19945,回头,108
8548,人物,108
3571,一部,108
2918,一封,108
12375,内向,108
50354,笑容,108
57519,记住,108
51376,紧张,108
28685,当年,108
25395,对话,108
54320,自卑,107
43239,深夜,107
8167,产生,107
32652,找个,107
25743,小小的,107
4721,不可,107
30239,总有,107
6766,之外,107
64241,难受,107
45692,独家,106
28761,形式,106
58959,赞助,106
53525,聚会,106
53458,聊聊,106
12575,写写,106
22852,头像,106
27398,干净,106
57128,观点,106
26524,屏幕,106
14379,前行,106
29449,心思,105
